Bokföringsdag;Belopp;Avsändare;Mottagare;Namn;Rubrik;Meddelande;Egna anteckningar;Saldo;Valuta
2022/08/08;-2129,00;51 86 87-9;;KORT             PAYPAL *THOMANN 26;KORT             PAYPAL *THOMANN 26;PAYPAL *THOMANN 2656;;;SEK
2022/08/08;-699,90;51 86 87-9;;KORT             PAYPAL *FILMTOO 26;KORT             PAYPAL *FILMTOO 26;PAYPAL *FILMTOO 2656;;;SEK
2022/08/05;-1884,37;51 86 87-9;;KORT             PAYPAL *RAT RIG 26;KORT             PAYPAL *RAT RIG 26;PAYPAL *RAT RIG 2656;;38303,29;SEK
2022/08/04;-135,70;51 86 87-9;377-8214;Prima Printer Nordic AB;Prima Printer Nordic AB;Fnr: 4526959, The ITfied;Filamentprov ABS;40187,66;SEK
2022/08/02;-372,30;51 86 87-9;DE93600501010008573182;E.I.S. Euro Industry Supply;E.I.S. Euro Industry Supply;Reason for payment: VK 22;;40323,36;SEK
2022/08/01;-1149,55;51 86 87-9;;KORT             INDIEGOGO* FLIC 26;KORT             INDIEGOGO* FLIC 26;INDIEGOGO* FLIC 2656;;40695,66;SEK
2022/08/01;-438,90;51 86 87-9;377-8214;Prima Printer Nordic AB;Prima Printer Nordic AB;Fnr: 4526731, The ITfied;3D prn coated plate;;SEK
2022/07/27;-165,25;51 86 87-9;;KORT             electrokit com  26;KORT             electrokit com  26;electrokit com  2656;;42284,11;SEK
2022/07/25;-6643,14;51 86 87-9;;KORT             PAYPAL *SOROTEC 26;KORT             PAYPAL *SOROTEC 26;PAYPAL *SOROTEC 2656;;42449,36;SEK
2022/07/25;-277,00;51 86 87-9;;KORT             PAYPAL *SAUTER  26;KORT             PAYPAL *SAUTER  26;PAYPAL *SAUTER  2656;;;SEK
2022/07/12;-162,62;51 86 87-9;;KORT             BEANSTALK APP   26;KORT             BEANSTALK APP   26;BEANSTALK APP   2656;;49369,50;SEK
2022/07/04;-5,10;51 86 87-9;;PRIS ENL SPEC;PRIS ENL SPEC;;;49532,12;SEK
