Blad1: Table 1
7412;3.3;Aktiverat arbete för egen räkning;38xx;;;;;
7413;3.4;Övriga rörelseintäkter;39xx;;;;;
7511;3.5;Råvaror och förnödenheter;40xx-47xx, 4910-4920;;;;;
7512;3.6;Handelsvaror;40xx-47xx, 496x, 498x;;;;;
7513;3.7;Övriga externa kostnader;50xx-69xx;;;;;
7514;3.8;Personalkostnader;70xx-76xx;;;;;
7515;3.9;Av- och nedskrivningar av materiella och immateriella anläggningstillgångar;7700-7739, 7750-7789, 7800-7899;;;;;
7516;3.10;Nedskrivningar av omsättningstillgångar utöver normala nedskrivningar;774x, 779x;;;;;
7517;3.11;Övriga rörelsekostnader;79xx;;;;;
7414;3.12;Resultat från andelar i koncernföretag; +  8000-8069, 8090-8099;;;;;
7518;;;– 8000-8069,8090-8099;;;;;
7415;3.13;Resultat från andelar i intresseföretag och gemensamt styrda företag; + 8100-8112, 8114-8117, 8119-8122, 8124-8132,8134-8169, 8190-8199;;;;;
7519;;;– 8100-8112, 8114-8117, 8119-8122, 8124-8132, 8134-8169, 8190-8199;;;;;
7423;3.14;Resultat från övriga företag som det finns ett ägarintresse i; + 8113, 8118, 8123, 8133;;;;;
7530;;; - 8113, 8118, 8123, 8133;;;;;
7416;3.15;Resultat från övriga anläggningstillgångar; + 8200-8269, 8290-8299;;;;;
7520;;;– 8200-8269, 8290-8299;;;;;
7417;3.16;Övriga ränteintäkter och liknande resultatposter;8300-8369, 8390-8399;;;;;
7521;3.17;Nedskrivningar av finansiella anläggningstillgångar och kortfristiga placeringar;807x, 808x, 817x, 818x, 827x, 828x, 837x, 838x;;;;;
7522;3.18;Räntekostnader och liknande resultatposter;84xx;;;;;
7524;3.19;Lämnade koncernbidrag;883x;;;;;
7419;3.20;Mottagna koncernbidrag;882x;;;;;
7420;3.21;Återföring av periodiseringsfond;8810, 8819;;;;;
7525;3.22;Avsättning till periodiseringsfond;8810, 8811;;;;;
7421;3.23;Förändring av överavskrivningar;+ 885x;;;;;
7526;;;– 885x;;;;;
7422;3.24;Övriga bokslutsdispositioner;+ 886x-889x;;;;;
7527;;;– 886x-889x, 884x;;;;;
7528;3.25;Skatt på årets resultat;8900-8989;;;;;
7450;3.26;Årets resultat, vinst (flyttas till p. 4.1)  (+);+ 899x;;;;;
7550;3.27;Årets resultat, förlust (flyttas till p. 4.2) (-);– 899x;;;;;

Blad2: Table 1
;;;;


Blad3: Table 1
;;;;
