Table 1
Fältnamn på INK2R_SKV2002-33-01-24-04;;;;;
;;;;;
;;;;;
Attribut;Fältnamn;Datatyp;Obl.;*/+/-;Regel
2.27 Eget kapital Bundet eget kapital;7301;Numeriskt_A;N;*;
2.28 Eget kapital Fritt eget kapital;7302;Numeriskt_A;N;*;
2.29 Obeskattade reserver Periodiseringsfonder;7321;Numeriskt_A;N;*;
2.30 Obeskattade reserver Ackumulerade överavskrivningar;7322;Numeriskt_A;N;*;
2.31 Obeskattade reserver Övriga obeskattade reserver;7323;Numeriskt_A;N;*;
2.32 Avsättningar Avsättningar för pensioner och liknande förpliktelser enligt lag (1967:531)...;7331;Numeriskt_A;N;*;
2.33 Avsättningar Övriga avsättningar för pensioner och liknande förpliktelser;7332;Numeriskt_A;N;*;
2.34 Avsättningar Övriga avsättningar;7333;Numeriskt_A;N;*;
2.35 Långfristiga skulder Obligationslån;7350;Numeriskt_A;N;*;
2.36 Långfristiga skulder Checkräkningskredit;7351;Numeriskt_A;N;*;
2.37 Långfristiga skulder Övriga skulder till kreditinstitut;7352;Numeriskt_A;N;*;
2.38 Långfristiga skulder Skulder till koncern-, intresse- och gemensamt styrda företag;7353;Numeriskt_A;N;*;
"2.39 Skulder till övriga företag som det finns 
 ett ägarintresse i och övriga skulder";7354;Numeriskt_A;N;*;
2.40 Kortfristiga skulder Checkräkningskredit;7360;Numeriskt_A;N;*;
2.41 Kortfristiga skulder Övriga skulder till kreditinstitut;7361;Numeriskt_A;N;*;
2.42 Kortfristiga skulder Förskott från kunder;7362;Numeriskt_A;N;*;
2.43 Kortfristiga skulder Pågående arbeten för annans räkning;7363;Numeriskt_A;N;*;
2.44 Kortfristiga skulder Fakturerad men ej upparbetad intäkt;7364;Numeriskt_A;N;*;
2.45 Kortfristiga skulder Leverantörsskulder;7365;Numeriskt_A;N;*;
2.46 Kortfristiga skulder Växelskulder;7366;Numeriskt_A;N;*;
2.47 Kortfristiga skulder Skulder till koncern-, intresse- och gemensamt styrda företag;7367;Numeriskt_A;N;*;
"2.48 Skulder till övriga företag som det finns 
 ett ägarintresse i och övriga skulder";7369;Numeriskt_A;N;*;
2.49 Kortfristiga skulder Skattesskulder;7368;Numeriskt_A;N;*;
2.50 Kortfristiga skulder Upplupna kostnader och förutbetalda intäkter;7370;Numeriskt_A;N;*;
3.1 Nettoomsättning;7410;Numeriskt_A;N;+;
3.2 Förändring av lager av produkter i arbete, färdiga varor och pågående arbete för annans räkning. +;7411;Numeriskt_A;N;+;
3.2 Förändring av lager av produkter i arbete, färdiga varor och pågående arbete för annans räkning. -;7510;Numeriskt_A;N;-;
3.3 Aktiverat arbete för egen räkning;7412;Numeriskt_A;N;+;
3.4 Övriga rörelseintäkter;7413;Numeriskt_A;N;+;
3.5 Råvaror och förnödenheter;7511;Numeriskt_A;N;-;
3.6 Handelsvaror;7512;Numeriskt_A;N;-;
3.7 Övriga externa kostnader;7513;Numeriskt_A;N;-;
3.8 Personalkostnader;7514;Numeriskt_A;N;-;
3.9 Av- och nedskrivningar av materiella och immateriella anläggningstillgångar;7515;Numeriskt_A;N;-;
3.10 Nedskrivningar av omsättningstillgångar utöver normala nedskrivningar;7516;Numeriskt_A;N;-;
3.11 Övriga rörelsekostnader;7517;Numeriskt_A;N;-;
3.12 Resultat från andelar i koncernföretag +;7414;Numeriskt_A;N;+;
3.12 Resultat från andelar i koncernföretag -;7518;Numeriskt_A;N;-;
3.13 Resultat från andelar i intresseföretag och gemensamt styrda företag +;7415;Numeriskt_A;N;+;
3.13 Resultat från andelar i intresseföretag och gemensamt styrda företag -;7519;Numeriskt_A;N;-;
3.14 Resultat från övriga företag som det finns ett ägarintresse i +;7423;Numeriskt_A;N;+;
3.14 Resultat från övriga företag som det finns ett ägarintresse i -;7530;Numeriskt_A;N;-;
3.15 Resultat från övriga finansiella anläggningstillgångar +;7416;Numeriskt_A;N;+;
3.15 Resultat från övriga finansiella anläggningstillgångar -;7520;Numeriskt_A;N;-;
3.16 Övriga ränteintäkter och liknande resultatposter;7417;Numeriskt_A;N;+;
3.17 Nedskrivning av finansiella anläggningstillgångar och kortfristiga placeringar;7521;Numeriskt_A;N;-;
3.18 Räntekostnader och liknande resultatposter;7522;Numeriskt_A;N;-;
3.19 Lämnade koncernbidrag;7524;Numeriskt_A;N;-;
3.20 Mottagna koncernbidrag;7419;Numeriskt_A;N;+;
3.21 Återföring av periodiseringsfond;7420;Numeriskt_B;N;+;
3.22 Avsättning till periodiseringsfond;7525;Numeriskt_B;N;-;
3.23 Förändring av överavskrivningar +;7421;Numeriskt_A;N;+;
3.23 Förändring av överavskrivningar -;7526;Numeriskt_A;N;-;
3.24 Övriga bokslutsdispositioner +;7422;Numeriskt_A;N;+;
3.24 Övriga bokslutsdispositioner -;7527;Numeriskt_A;N;-;
3.25 Skatt på årets resultat;7528;Numeriskt_A;N;-;
3.26 Årets resultat, vinst (flyttas till p. 4.1);7450;Numeriskt_B;N;+;Får ej förekomma om 7550 finns med och 7550 <> 0.
3.27 Årets resultat, förlust (flyttas till p. 4.2);7550;Numeriskt_B;N;-;Får ej förekomma om 7450 finns med och 7450 <> 0.
