Blad1: Table 1
7412;3.3;Aktiverat arbete för egen räkning;38xx;;;;;
7413;3.4;Övriga rörelseintäkter;39xx;;;;;
7511;3.5;Råvaror och förnödenheter;40xx-47xx, 4910-4929;;;;;
7512;3.6;Handelsvaror;40xx-47xx, 496x, 498x;;;;;
7513;3.7;Övriga externa kostnader;50xx-69xx;;;;;
7514;3.8;Personalkostnader;70xx-76xx;;;;;
7515;3.9;Av- och nedskrivningar av materiella och immateriella anläggningstillgångar;77xx-78xx exkl. (774x, 779x);;;;;
7516;3.10;Nedskrivningar av omsättningstillgångar utöver normala nedskrivningar;774x, 779x;;;;;
7517;3.11;Övriga rörelsekostnader;79xx;;;;;
7414;3.12;Resultat från andelar i koncernföretag;+ 80xx exkl. (807x, 808x);;;;;
7518;;;– 80xx exkl. (807x, 808x);;;;;
7415;3.13;Resultat från andelar i intresseföretag och gemensamt styrda företag; + 81xx exkl. (817x, 818x samt 8123 och 8133);;;;;
7519;;;– 81xx exkl. (817x, 818x samt 8123 och 8133);;;;;
7423;3.14;Resultat från övriga företag som det finns ett ägarintresse i; + 8123, 8133;;;;;
7530;;; - 8123, 8133;;;;;
7416;3.15;Resultat från övriga anläggningstillgångar;+ 82xx exkl. (827x, 828x);;;;;
7520;;;– 82xx exkl. (827x, 828x);;;;;
7417;3.16;Övriga ränteintäkter och liknande resultatposter;83xx exkl. (837x, 838x);;;;;
7521;3.17;Nedskrivningar av finansiella anläggningstillgångar och kortfristiga placeringar;807x, 808x, 817x, 818x, 827x, 828x, 837x, 838x;;;;;
7522;3.18;Räntekostnader och liknande resultatposter;84xx;;;;;
7524;3.19;Lämnade koncernbidrag;883x;;;;;
7419;3.20;Mottagna koncernbidrag;882x;;;;;
7420;3.21;Återföring av periodiseringsfond;8810, 8819;;;;;
7525;3.22;Avsättning till periodiseringsfond;8810, 8811;;;;;
7421;3.23;Förändring av överavskrivningar;+ 885x;;;;;
7526;;;– 885x;;;;;
7422;3.24;Övriga bokslutsdispositioner;+ 886x-889x;;;;;
7527;;;– 886x-889x, 884x;;;;;
7528;3.25;Skatt på årets resultat;89xx exkl. 899x;;;;;
7450;3.26;Årets resultat, vinst (flyttas till p. 4.1)  (+);+ 899x;;;;;
7550;3.27;Årets resultat, förlust (flyttas till p. 4.2) (-);– 899x;;;;;

Blad2: Table 1
;;;;


Blad3: Table 1
;;;;
